City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Anzio,41.49,12.62,17.94,67,40,6.2,IT,1602773540
Zaokskiy,54.73,37.41,10.79,5,0,3.93,RU,1602773541
Varhaug,58.61,5.65,10.93,79,4,3.73,NO,1602773541
Bonthe,7.53,-12.51,28.91,70,53,4.16,SL,1602773541
Manfredonia,41.63,15.91,19.94,68,40,4.6,IT,1602773542
Ilulissat,69.22,-51.1,2,43,75,6.7,GL,1602773542
Aguimes,27.91,-15.45,24.26,65,20,7.2,ES,1602773542
Taoudenni,22.68,-3.98,40.45,9,11,4.51,ML,1602773543
The Valley,18.22,-63.06,29.85,74,20,8.2,AI,1602773543
Los Llanos De Aridane,28.66,-17.92,23.38,65,40,2.1,ES,1602773543
Talnakh,69.49,88.4,-4,92,75,6,RU,1602773543
Iglesias,39.31,8.54,18.81,55,75,7.2,IT,1602773544
Noyabrsk,63.2,75.45,-0.12,93,83,6.48,RU,1602773544
Vestmanna,62.16,-7.17,7,75,50,2.6,FO,1602773544
Candolim,15.52,73.76,25,100,75,3.1,IN,1602773545
Birao,10.28,22.79,32.48,46,25,1.03,CF,1602773546
Gilgit,35.92,74.31,19.69,25,20,1.64,PK,1602773546
Laguna,38.42,-121.42,18.58,29,1,3.1,US,1602773546
Faro,37.02,-7.93,18,68,21,7.7,PT,1602773546
Muros,42.78,-9.06,17.24,61,33,2.68,ES,1602773547
Salalah,17.02,54.09,28,83,20,1.5,OM,1602773547
Barraute,48.43,-77.63,9.75,87,90,4.6,CA,1602773548
Shambu,9.57,37.1,13.49,99,89,1.09,ET,1602773548
Narayangarh,30.48,77.13,26,41,5,1,IN,1602773548
Maceio,-9.67,-35.74,28,69,75,5.7,BR,1602773548
Areosa,41.72,-8.86,16.44,67,20,6.2,PT,1602773549
Saint-Pierre,-21.34,55.48,22.29,78,17,5.7,RE,1602773256
Sinop,41.77,34.87,23,64,0,4.6,TR,1602773549
Berlevag,70.86,29.09,3,93,75,4.6,NO,1602773550
Capaci,38.17,13.24,20.61,64,20,7.7,IT,1602773550
Henties Bay,-22.12,14.28,18.33,80,24,1.34,NA,1602773551
Faya,18.39,42.45,24.5,8,20,2.6,SA,1602773553
Zlobin,45.29,14.65,12.66,82,40,3.1,HR,1602773553
Salme,28.04,85.09,21,77,20,1.5,NP,1602773553
Humaita,-7.51,-63.02,36.26,41,94,1.15,BR,1602773554
Rochegda,62.8,43.25,0.93,92,100,1.26,RU,1602773554
Kaliua,-5.06,31.79,28.4,41,53,3.21,TZ,1602773554
Tessalit,20.2,1.01,38.4,8,4,3.72,ML,1602773554
Molodizhne,48.18,32.66,17.89,48,100,3,UA,1602773555
Adrian,41.9,-84.04,11.21,81,90,7.2,US,1602773555
Honningsvag,70.98,25.97,5.06,88,100,11.17,NO,1602773555
Kasongo-Lunda,-6.47,16.82,29.49,66,77,1.24,CD,1602773556
Eyl,7.98,49.82,30.17,55,73,6.57,SO,1602773556
Havelock,34.88,-76.9,23.81,78,20,3.6,US,1602773557
Warri,5.52,5.75,27.97,78,98,3.96,NG,1602773557
Paamiut,61.99,-49.67,4.91,70,100,6.17,GL,1602773557
Namibe,-15.2,12.15,22.28,71,57,5.51,AO,1602773558
Road Town,18.42,-64.62,30,74,75,6.2,VG,1602773558
Daura,11.55,11.41,34.66,28,49,1.29,NG,1602773558
Barcelos,41.54,-8.62,16.83,67,20,6.2,PT,1602773558
Benguela,-12.58,13.41,24.77,73,75,3.94,AO,1602773456
Sozimskiy,59.74,52.25,4.17,92,100,4.9,RU,1602773559
San-Pedro,4.75,-6.64,26.77,81,97,4.79,CI,1602773560
Salavat,53.38,55.91,11.88,42,68,4.78,RU,1602773560
Baherden,38.44,57.43,17.94,26,0,2.2,TM,1602773561
Carnarvon,-24.87,113.63,20,77,40,10.8,AU,1602773520
Mocuba,-16.84,36.99,26.55,47,1,4.83,MZ,1602773561
Murgab,37.5,61.97,19,39,0,3.67,TM,1602773561
Bathsheba,13.22,-59.52,29,74,40,6.2,BB,1602773562
Purpe,64.48,76.69,-0.23,92,25,7.52,RU,1602773562
Ambovombe,-25.17,46.08,19.81,82,83,8.83,MG,1602773562
Pedernales,18.04,-71.74,30,79,20,2.6,DO,1602773563
Muli,2.92,73.57,28.07,79,54,8.88,MV,1602773563
Mogadishu,2.04,45.34,26.55,80,2,5.92,SO,1602773563
Curaca,-8.99,-39.91,35.49,19,31,5.35,BR,1602773564
Mattru,7.62,-11.83,32.35,56,32,1.45,SL,1602773564
Nantucket,41.28,-70.1,17.1,88,1,5.7,US,1602773564
Castro,-24.79,-50.01,21.34,78,99,2.8,BR,1602773469
Koumra,8.91,17.55,28.87,68,16,1.11,TD,1602773565
Sambava,-14.27,50.17,24.78,76,5,4.81,MG,1602773566
Anloga,5.79,0.9,30,70,20,6.7,GH,1602773566
Semikarakorsk,47.52,40.81,21,46,3,4,RU,1602773567
Nouakchott,18.09,-15.98,42,15,12,7.2,MR,1602773567
Puerto Berrio,6.49,-74.4,29.67,67,8,1.13,CO,1602773567
Porosozero,62.72,32.73,1.96,86,99,2.54,RU,1602773567
Nuuk,64.18,-51.72,3,74,75,1,GL,1602773274
Nouadhibou,20.93,-17.03,37,29,95,5.7,MR,1602773385
Sao Jose Da Coroa Grande,-8.9,-35.15,27.92,66,73,5.57,BR,1602773568
Parasia,22.2,78.77,22.02,92,35,2.42,IN,1602773569
Torbay,47.67,-52.73,13.79,93,90,12.3,CA,1602773569
Buzovna,40.52,50.11,17,72,0,3.1,AZ,1602773569
Ndago,-4.6,34.35,28.47,30,43,5.23,TZ,1602773570
Port Blair,11.67,92.75,27.16,81,100,4.82,IN,1602773570
Thompson,55.74,-97.86,-4,73,40,5.7,CA,1602773571
Vallenar,-28.57,-70.76,25.08,30,0,3.38,CL,1602773571
Necochea,-38.55,-58.74,16.11,72,0,2.24,AR,1602773571
Gravdal,68.12,13.5,6,81,75,3.6,NO,1602773571
Muisne,0.6,-80.03,27,83,75,3.1,EC,1602773572
Iskateley,67.68,53.15,0.23,93,99,4.64,RU,1602773573
Wundanyi,-3.4,38.36,23.05,59,5,7.24,KE,1602773573
Arklow,52.79,-6.14,10.56,81,97,0.45,IE,1602773574
Saint-Augustin,51.23,-58.65,9.88,79,96,7.38,CA,1602773574
Sistranda,63.73,8.83,8,87,40,6.7,NO,1602773574
Bansang,13.43,-14.65,35.59,44,100,1.56,GM,1602773574
Klaksvik,62.23,-6.59,7,75,50,2.6,FO,1602773575
Pangnirtung,66.15,-65.71,5,56,90,5.7,CA,1602773575
Rawson,-43.3,-65.1,23.17,21,73,5.96,AR,1602773575
Sandnessjoen,66.02,12.63,7.92,87,75,8.7,NO,1602773576
Wote,-1.78,37.63,28.12,33,1,5.2,KE,1602773576
Dingle,11,122.67,23.68,95,100,0.78,PH,1602773576
Diffa,13.32,12.61,39.41,10,0,8.26,NE,1602773576
Bulz,46.92,22.68,17.11,67,99,2.1,RO,1602773577
Gardez,33.6,69.23,19,34,1,1.8,AF,1602773577
Muzhi,65.37,64.67,-0.7,91,94,2.42,RU,1602773577
Gorele,41.03,39,22,78,75,0.41,TR,1602773578
Santa Marta,11.24,-74.2,31.11,69,0,0.45,CO,1602773485
Margate,51.38,1.39,12.89,60,10,2.24,GB,1602773578
Constitucion,-35.33,-72.42,18.3,62,0,3.12,CL,1602773578
Hamilton,39.18,-84.53,17.29,68,90,5.1,US,1602773579
Nanortalik,60.14,-45.24,4.69,73,100,2.58,GL,1602773579
Hornepayne,49.21,-84.77,2.74,95,100,5.72,CA,1602773579
Senden,48.32,10.04,7.34,93,75,2.6,DE,1602773580
Zaozerne,45.16,33.28,20,69,95,2.98,UA,1602773580
Valparaiso,-33.04,-71.63,10.44,100,90,2.1,CL,1602773580
Lobito,-12.35,13.55,24.09,78,63,2.8,AO,1602773580
Ongandjera,-17.88,15.07,36.77,11,46,4.91,NA,1602773581
Andrushivka,50.02,29.02,14.14,58,78,3.57,UA,1602773581
Lev Tolstoy,53.21,39.45,14,47,28,3,RU,1602773581
Kemijarvi,66.71,27.43,1.86,87,100,2.41,FI,1602773583
Sao Joao Da Barra,-21.64,-41.05,28,65,75,5.1,BR,1602773583
Kidal,18.44,1.41,38.44,8,4,1.11,ML,1602773583
Altamira,-3.2,-52.21,35.15,42,13,2.09,BR,1602773584
Manali,13.17,80.27,30,74,75,4.1,IN,1602773584
Chilca,-12.52,-76.74,20.74,72,1,5.1,PE,1602773584
Znamensk,48.58,45.73,18.3,54,76,3.7,RU,1602773585
Marawi,8,124.29,23.89,91,100,3.13,PH,1602773585
Santa Barbara,34.73,-120.03,12.9,62,1,2.23,US,1602773585
Matagami,49.75,-77.63,8,100,90,5.7,CA,1602773585
Xuddur,4.12,43.89,28.05,55,68,4.36,SO,1602773586
Loukhi,66.08,33.04,2.39,83,98,3.67,RU,1602773587
Iracoubo,5.48,-53.2,30.67,60,9,5.61,GF,1602773587
Mizdah,31.45,12.98,33.99,10,0,6.48,LY,1602773587
Hauterive,46.09,3.45,7.78,75,90,4.6,FR,1602773588
Hambantota,6.12,81.12,28,83,75,2.6,LK,1602773588
Karlskrona,56.16,15.59,10,71,75,6.7,SE,1602773412
Grindavik,63.84,-22.43,10,76,90,7.2,IS,1602773342
Rebrikha,53.07,82.34,10.57,48,100,6.39,RU,1602773589
Saint-Joseph,-21.37,55.62,21.93,78,19,5.7,RE,1602773589
Andapa,-14.65,49.65,19.71,90,84,0.66,MG,1602773589
Saint-Amand-Les-Eaux,50.45,3.43,11.25,57,90,6.2,FR,1602773590
Vytegra,61.01,36.45,3.96,85,47,3.61,RU,1602773590
Pascagoula,30.37,-88.56,23.57,78,1,2,US,1602773590
Marietta,33.95,-84.55,19.05,100,90,3.1,US,1602773590
Pergamino,-33.89,-60.57,23.27,55,43,0.45,AR,1602773591
Glace Bay,46.2,-59.96,14.31,76,40,2.6,CA,1602773591
Rennes,48.17,-1.67,13.42,58,90,5.1,FR,1602773592
Emba,48.83,58.14,12.6,37,73,0.54,KZ,1602773592
Brae,60.4,-1.35,10,87,40,6.2,GB,1602773592
Mundgod,14.97,75.03,20.9,95,9,3.38,IN,1602773592
Ancud,-41.87,-73.82,14.43,43,0,4.1,CL,1602773593
Asosa,10.07,34.53,19.21,93,100,0.93,ET,1602773593
Ayorou,14.73,0.92,39.4,16,18,4.41,NE,1602773593
Machali,-34.18,-70.67,25.53,38,0,2.23,CL,1602773594
Eenhana,-17.47,16.33,37,17,40,4.1,NA,1602773594
Frontino,6.78,-76.13,24.03,63,61,0.42,CO,1602773594
Lima,-12.04,-77.03,20.06,72,7,5.1,PE,1602773300
Husavik,66.04,-17.34,7,62,0,1,IS,1602773595
La Plata,-34.92,-57.95,16.11,82,66,0.89,AR,1602773461
Longonjo,-12.91,15.25,24,60,40,3.6,AO,1602773595
Kaoma,-14.78,24.8,30.83,31,73,3.92,ZM,1602773596
Turukhansk,65.82,87.98,-2.01,97,100,6.78,RU,1602773596
Zhob,31.34,69.45,18.99,21,0,0.15,PK,1602773596
Le Port,-20.94,55.29,20.07,73,20,5.1,RE,1602773596
Pisco,-13.7,-76.22,19.43,72,0,3.6,PE,1602773597
Camana,-16.62,-72.71,19.58,65,27,4.88,PE,1602773597
Bilma,18.69,12.92,39.53,8,0,3.32,NE,1602773597
Linhares,-19.39,-40.07,33.26,45,74,3.45,BR,1602773597
Kamskoye Ustye,55.2,49.27,15,30,93,5,RU,1602773598
Ariquemes,-9.91,-63.04,37.03,35,61,1.39,BR,1602773599
Balesti,45.02,23.22,16.29,62,79,1.53,RO,1602773599
Taranagar,28.67,75.04,28.58,15,20,2.09,IN,1602773568
Marsh Harbour,26.54,-77.06,27.87,76,29,7.57,BS,1602773600
Opuwo,-18.06,13.84,36,10,58,6.39,NA,1602773600
Banda Aceh,5.56,95.32,27.98,70,98,4.61,ID,1602773345
Ovre Ardal,61.32,7.8,8,45,9,2.6,NO,1602773600
Raudeberg,61.99,5.14,9.33,62,0,8.65,NO,1602773601
Wageningen,51.97,5.67,11.3,66,90,5.7,NL,1602773414
Kisangani,0.52,25.2,27.35,78,100,1.1,CD,1602773601
Huarmey,-10.07,-78.15,20.21,67,14,3.3,PE,1602773602
Yellandu,17.6,80.33,24.85,93,100,1.15,IN,1602773602
Saint-Gabriel,46.3,-73.38,11.83,62,90,1.5,CA,1602773602
Barra Dos Coqueiros,-10.91,-37.04,29,62,20,5.7,BR,1602773602
Kulhudhuffushi,6.62,73.07,28.09,78,90,10.07,MV,1602773603
Ngama,11.78,17.17,35.82,29,64,1.85,TD,1602773603
Vestmannaeyjar,63.44,-20.27,9.55,77,54,9.51,IS,1602773603
Koslan,63.46,48.9,0.32,90,100,2.6,RU,1602773603
Nyuksenitsa,60.41,44.24,3.84,96,100,2.21,RU,1602773604
Consett,54.85,-1.83,10,85,41,4.18,GB,1602773316
Karaton,-6.34,106.1,27.91,78,20,3.6,ID,1602773604
Kadhan,24.48,68.99,32.41,14,0,4.49,PK,1602773605
Ilo,-17.64,-71.34,19,82,90,3.6,PE,1602773605
Taltal,-25.4,-70.48,17.38,62,13,2.76,CL,1602773606
Skeldon,5.88,-57.13,31.64,54,2,2.71,GY,1602773606
Hun,29.13,15.95,36.3,11,72,7.29,LY,1602773606
Uray,60.12,64.78,1.25,87,28,2.7,RU,1602773606
Qaqortoq,60.72,-46.03,2,74,75,1,GL,1602773607
Elizabeth City,36.29,-76.25,21.31,62,0,3.93,US,1602773607
Adrar,20.5,-10.07,37.34,15,98,2.76,MR,1602773607
Pitimbu,-7.47,-34.81,29,66,75,6.2,BR,1602773608
Lebu,-37.62,-73.65,14,68,0,5.56,CL,1602773609
Gus-Khrustalnyy,55.61,40.65,11.53,63,47,4.11,RU,1602773609
Vila Franca Do Campo,37.72,-25.43,22,83,75,4.1,PT,1602773609
Monastyrshchina,54.35,31.84,9.61,76,94,3.69,RU,1602773610
Umm Kaddadah,13.6,26.69,35.62,17,0,2.5,SD,1602773610
Bud,39.45,-86.18,11.27,87,90,4.65,US,1602773610
Copiapo,-27.37,-70.33,13,87,90,3.1,CL,1602773610
Alexandria,31.22,29.96,28,58,40,6.2,EG,1602773384
Berbera,10.44,45.01,30.31,57,0,2.67,SO,1602773532
Igbo Ora,7.43,3.28,29.9,67,58,1.72,NG,1602773611
Itaituba,-4.28,-55.98,32.38,49,45,2.41,BR,1602773612
Batsfjord,70.63,29.72,3,93,75,4.6,NO,1602773612
Yarada,17.65,83.27,27,100,75,1,IN,1602773612
Inhambane,-23.86,35.38,25,53,20,5.1,MZ,1602773613
Severodvinsk,64.56,39.83,2,93,75,1,RU,1602773613
Fort William,56.82,-5.11,10.56,67,83,0.89,GB,1602773614
Rocha,-34.48,-54.33,21.34,61,0,3.53,UY,1602773614
Felipe Carrillo Puerto,19.58,-88.05,28.39,66,0,1.27,MX,1602773614
Sorland,67.67,12.69,7,81,75,3.1,NO,1602773615
Ushtobe,45.25,77.98,10.14,46,0,2.18,KZ,1602773615
Bafata,12.17,-14.75,34.1,56,31,0.3,GW,1602773615
Barao De Melgaco,-16.19,-55.97,32,46,84,4.1,BR,1602773615
Codrington,-38.27,141.97,8.49,72,63,5.3,AU,1602773616
Porto Belo,-27.16,-48.55,23.1,73,75,3.6,BR,1602773616
Hryshkivtsi,49.94,28.6,13.93,58,76,3.42,UA,1602773617
Porto Santo,33.07,-16.34,21,73,75,6.2,PT,1602773617
Kyzyl-Suu,42.34,78.01,7.78,53,0,2.52,KG,1602773618
Khammam,17.25,80.15,25.51,91,100,1.85,IN,1602773618
Ayagoz,47.97,80.44,7.16,55,51,1.09,KZ,1602773618
Korla,41.76,86.15,10,70,35,2.68,CN,1602773619
Jalu,29.03,21.55,35.12,16,0,3.86,LY,1602773619
Alta Floresta,-9.88,-56.09,38.19,24,17,2.71,BR,1602773620
Rio Gallegos,-51.62,-69.22,17,27,36,12.3,AR,1602773620
Mossendjo,-2.95,12.73,26.46,71,71,2.33,CG,1602773620
Maun,-19.98,23.42,35,23,75,6.7,BW,1602773621
Walvis Bay,-22.96,14.51,19.24,64,21,3.6,NA,1602773456
San Cristobal,7.77,-72.22,30,55,20,2.1,VE,1602773530
Shahreza,32.03,51.88,8.58,43,0,1.56,IR,1602773621
Pafos,34.77,32.42,25.09,65,40,6.2,CY,1602773622
Duku,11.24,4.91,35.58,36,4,0.95,NG,1602773622
Villa Constitucion,-33.23,-60.33,23.71,45,81,0.45,AR,1602773622
Saint Anthony,45.02,-93.22,3.23,55,1,6.7,US,1602773623
Dir,35.21,71.88,14.97,34,0,1.67,PK,1602773623
Leh,34.17,77.58,6.36,40,0,1.11,IN,1602773623
Kjollefjord,70.95,27.35,4.24,81,100,3.53,NO,1602773623
Kortkeros,61.81,51.58,-1,100,90,4,RU,1602773624
Tocopilla,-22.09,-70.2,19.73,47,6,3.18,CL,1602773625
Lasa,46.62,10.7,6.01,69,75,5.1,IT,1602773625
Uryupinsk,50.8,42.01,18.86,55,26,2.82,RU,1602773626
Havoysund,71,24.66,5,93,75,12.9,NO,1602773626
La Asuncion,11.03,-63.86,28.89,68,0,3.66,VE,1602773627
Belebey,54.12,54.12,12.38,40,1,6.81,RU,1602773628
Mecca,21.43,39.83,30.32,20,0,5.63,SA,1602773027
Canutama,-6.53,-64.38,35.54,44,100,0.89,BR,1602773628
Shar,49.59,81.05,9.59,51,86,7.14,KZ,1602773628
Irbit,57.67,63.07,4.64,83,100,2.92,RU,1602773629
Savalou,7.93,1.98,30.69,62,53,1.94,BJ,1602773386
Orapa,-21.28,25.37,31.65,18,3,5.94,BW,1602773629
Gornopravdinsk,60.05,69.9,0.04,96,0,1.17,RU,1602773629
Saintes,45.67,-0.75,12.16,62,90,3.6,FR,1602773630
Wukari,7.85,9.78,29.79,67,70,2.07,NG,1602773630
Biskamzha,53.45,89.53,4.74,75,100,7.61,RU,1602773630
Poltavka,54.37,71.76,8.64,79,87,2.25,RU,1602773631
Lichtenburg,-26.15,26.16,28.35,20,0,3.17,ZA,1602773631
Mayumba,-3.43,10.66,24.61,79,78,4.09,GA,1602773631
Khartoum,15.55,32.53,38.63,12,20,3.1,SD,1602773631
Sidi Ali,36.1,0.42,19.35,44,22,4.49,DZ,1602773632
Sechura,-5.56,-80.82,21.59,68,68,3.21,PE,1602773632
Dukhovnitskoye,52.48,48.21,15.28,50,100,4.95,RU,1602773632
Tres Arroyos,-38.37,-60.28,18.98,34,0,4.5,AR,1602773633
Khorixas,-20.37,14.97,38.67,8,58,5.01,NA,1602773633
Camocim,-2.9,-40.84,33.37,45,3,7.58,BR,1602773633
Bayir,37.27,28.22,24,44,20,6.7,TR,1602773633
Horizontina,-27.63,-54.31,26.67,49,68,0.89,BR,1602773634
Saurimo,-9.66,20.39,26.98,62,72,1.74,AO,1602773634
Sao Pedro Do Sul,-29.62,-54.18,22.65,54,45,5.41,BR,1602773634
Keetmanshoop,-26.58,18.13,37.49,8,0,2.6,NA,1602773635
Sortavala,61.71,30.69,4.67,77,84,3.97,RU,1602773635
Santarem,-2.44,-54.71,31,66,20,6.2,BR,1602773635
Ilebo,-4.32,20.58,32.62,48,34,1.42,CD,1602773635
Snezhnogorsk,69.19,33.25,2,100,75,2,RU,1602773636
Camacha,33.08,-16.33,21,73,75,6.2,PT,1602773636
El Alto,-4.27,-81.21,21,73,31,6.2,PE,1602773636
Mortka,59.33,66.02,0.73,90,3,2.16,RU,1602773637
Olivenza,38.68,-7.1,22.68,23,5,2.1,ES,1602773637
Mahajanga,-15.72,46.32,30,58,20,5.1,MG,1602773637
Sibay,52.72,58.67,11,44,80,3.63,RU,1602773638
